trend_id,volume,engagement,unique_creators,current_stage,growth_rate_7d,acceleration,sweet_spot_days_left,recommended_action
#womenshealth,2400000,12500,"the.busy.mom.method, project.s.lifestyle, lifegreenhealthy, meredith.vanness, jocelyn_wittstein_md",emerging,15,0,5,Hop in now
#intermittentfasting,2200000,20000,"aajtak, phillips_nutrition, phillips_nutrition, phillips_nutrition, avatarjonny",declining,-5,-20,0,Consider exit
#mentalwellness,2000000,14000,"healingsoulutions_, quotesandhealing, the.trauma.educator, my.neral, the.grief.hub",emerging,20,5,5,Hop in now
#yoga,1900000,17500,"womanknowthyself, yoga_eauphoria, medicina_del_alma, rathelightbearer, ricardobordin_",stable,2,-13,4,Maintain position
#stressmanagement,1600000,15000,"wonderled.life, selfcarexpress, mindandchild, peakperformancewithjulia, voteinorout",stable,7,-8,4,Maintain position
#telehealth,1500000,15500,"morgansandiego, run.nrg, therapist.memes.fordramaqueens, balleralert, businessinsider",emerging,10,-5,6,Hop in now
#chronicpain,1450000,15500,"themigrainenetwork, recoverpain, jim_bostock, hannahbluish, dysautonomiafact",emerging,13,-2,9,Hop in now
#healthyaging,1400000,18500,"upskills.ro, healthyhormoneshub, cristinatomasi, doclogues, habitos.vitales",emerging,14,-1,7,Hop in now
#detox,1350000,11500,"saude_bem__estar10, everythingdragraces, drjoshaxe, toxfreedoc, ms.smirnov451092",declining,-7,-22,0,Consider exit
#supplements,1300000,12500,"elixirofscience, thestomachdoc, stack3dnews, drtodd_newyorkcityy, adawellmed",emerging,11,-4,9,Hop in now
#aromatherapy,1200000,15000,"scienceofessentials, magic__candles____, sunsoakedlaundry, poopyturdsmcgee, scienceofessentials",emerging,15,0,8,Hop in now
#stressrelief,1100000,16000,"wonderled.life, miosquishy, bitchyquotes, audreaturgeman, zafa_fathi",stable,8,-7,6,Maintain position
#veganfood,11000000,23000,"nutricion.sonia, nutricion.sonia, vegnews, tanotto_official, rotaveg",emerging,20,5,8,Hop in now
#mealprep,9500000,20000,"thechefylyt_tv, careeseeats, kirstykaminski, fitnutfitness, leslie_stokes_",stable,5,-10,3,Maintain position
#foodphotography,9000000,21000,"khyati240915, georgewangjr, biaoinchina, joanna_k_k, mae_klong_huapla",emerging,13,-2,8,Hop in now
#foodie,8800000,19000,,stable,22,7,4,Maintain position
#kombucha,8000000,24000,"salomelafermentee, gutharmonywithkaitlin, jiho_table, bradtjonas, roshellezielinski",emerging,30,15,6,Hop in now
#sourdoughbread,7800000,18000,"marielesterbaker, cristinavaleije, sourdough_explained, caitlinmariedasilva, nitamaster7",emerging,15,0,7,Hop in now
#comfortfood,7500000,15000,"bobbyg.eats, shehnilanoman, stfumatthew, thereciperebel, mariabonadio_",stable,22,7,4,Maintain position
#streetfood,7100000,16000,,emerging,22,7,7,Hop in now
#easyrecipes,7000000,15500,"alabasterfox, loveexlauren, roberto_avellan, roberto_avellan, pinchofyum",stable,10,-5,5,Maintain position
#organicfood,6800000,14000,"mech.eng.world, greenearthorganics1, manonlagreve, greenearthorganics1, boydbrown3",emerging,22,7,9,Hop in now
#dessertlover,6400000,13500,"slcfoodie, slcfoodie, tuzluveofkeli2, bobbyg.eats, sarahkrafft",stable,10,0,4,Maintain position
#holidayrecipes,6000000,12000,"sherryhour, chef.eatchahand, acquired_by_andrea, cookingkatielady, rachelparker_blog",emerging,12,-3,8,Hop in now
#foodstyling,5800000,13000,"eatinghealthytoday, ronis_recipes, healthymealtoday, enjoythebiitee, gpongco",emerging,22,7,9,Hop in now
#fermentation,5600000,15000,"what.i.eat.by.helene, pro__kit, rafuel55, cultured.guru, cultivating_roots_",emerging,20,5,5,Hop in now
#plantbasedsnacks,5500000,14500,"daniellamonet, the_oatmilk_diaries, weareveganuary, theveganzombie, vegancommunity",emerging,22,7,7,Hop in now
#coffeeart,5300000,11000,"lyndacartereverything, yakupayd1n, donebyaydan, rocketespresso, cansupo",emerging,14,-1,9,Hop in now
#baking,5000000,12000,"maurizio, thebakefeed, gedebey_21_77, antonio.bachour, jolinfromscratch",stable,10,-5,4,Maintain position
#dairyfree,4800000,11500,"thestomachdoc, peta, peta, vegnews, justinmschuble",emerging,19,4,7,Hop in now
