trend_id,token_type,platform,date,volume,engagement,audience_signals,category,geo,raw_token,growth_rate_7d,acceleration,current_stage,recommended_action,products,best_loreal_product,product_score,brand_matches,best_brands,brand_scores
#makeuptutorial,hashtag,youtube,7/9/2025,1534,2256057,"{'gen_z': np.float64(0.71), 'millennials': np.float64(0.29)}",['lifestyle'],"['es', 'en', 'hi', 'en-GB', 'ur', 'bn-IN', 'en-US', 'zxx']",#makeuptutorial,2,0.333,emerging,Hop on now,"lipstick, eyeliner, eyeshadow, sunscreen, foundation, comb, contour, concealer, blush, eye cream, lip balm, highlighter, powder highlighter, body balm, bronzer, lip tint, lip oil, lip pencil, mascara, lip liner, primer, cream blush, serum, body mist, makeup brush, moisturizer, loose powder, matte lipstick, perfume, brow pomade, toner, hydrating toner, lip stain, setting powder, brow pencil, brow gel, beauty blender, brush set, face mask, face primer, waterproof mascara, setting spray, liquid foundation, lip butter, tinted moisturizer, body lotion, body shimmer, lip gloss, hand cream, blending brush, sunblock, lip plumper, stick foundation, eyebrow pen, eyebrow pencil, beard oil, foundation primer, shampoo, liquid eyeliner, gel eyeliner, compact powder, liquid lipstick, lip lacquer, foundation brush, powder blush, face palette, illuminator, body scrub, deodorant, lash curler, eyelash curler, cream contour, headband, makeup organizer, face roller, eyelash glue, cream eyeshadow, pressed powder, face powder, nail polish, acrylic nails, eye serum, hair treatment, hair oil, glossy lipstick, brush cleaner, makeup palette, hair serum, foundation stick, body serum, hydrating mask, lip crayon, cream highlighter, face mist, makeup remover, hair dryer, spoolie brush, brightening serum, face scrub, powder contour, concealer brush, essential oil, false eyelashes, acne treatment, night cream, makeup sponge, hair brush, curling iron, lash adhesive, gua sha, hair mask, hair cream, detox mask, micellar water, face oil, eyelash serum, whitening cream, eye shadow palette, sheet mask","Infallible Lip Makeup
Infallible Matte Resistance Liquid Lipstick",100,"[('Ralph Lauren Beauty', 58), ('Garnier', 57), ('Maybelline New York', 53)]","['Ralph Lauren Beauty', 'Garnier', 'Maybelline New York']","[58, 57, 53]"
#hair,hashtag,youtube,7/9/2025,1421,8973108,"{'gen_z': np.float64(0.61), 'millennials': np.float64(0.39)}","['lifestyle', 'health', 'food']","['en', 'ur', 'en-GB', 'en-US', 'zxx', 'hi', 'ta', 'bn', 'ar', 'ru', 'en-IN', 'az']",#hair,0,0.333,peak,Maintain visibility,"hair mask, hair oil, hair cream, hair wax, hair treatment, toner, shampoo, primer, hair clip, serum, hair serum, eyeshadow, foundation, lipstick, matte lipstick, mascara, eyeliner, highlighter, setting spray, headband, makeup brush, comb, perfume, keratin treatment, conditioner, curling iron, blush, hair growth serum, scalp treatment, hair dryer, contour, concealer, bronzer, face mask, face oil, lip oil, acrylic nails, hair gel, hair mist, lip plumper, nail polish, nail polish remover, moisturizer, eye cream, hair spray, hair brush, dry shampoo, hair tonic, hair tie, liquid foundation, lip liner, shaving cream, essential oil, body polish, curl cream, body mist, heat protectant spray, lip balm, setting powder, lip gloss, body scrub, loose powder, gel eyeliner, liquid eyeliner, acne treatment, brow gel, lip butter, sunscreen, tweezers, concealer brush, smoothing cream, face scrub, body lotion, exfoliator, body wash, body oil, body mask, hair pomade, hair vitamin spray, lip scrub, deodorant, makeup remover, makeup palette, detox mask, hair mousse, kohl eyeliner, night cream, waterproof mascara, beauty blender, eyeshadow brush","Elseve
Extraordinary Oil Hair Mask",100,"[('Biotherm', 62), ('Valentino', 56), ('Maison Margiela', 53)]","['Biotherm', 'Valentino', 'Maison Margiela']","[62, 56, 53]"
#viral,hashtag,youtube,7/9/2025,1308,9761164,"{'gen_z': np.float64(0.43), 'millennials': np.float64(0.57)}","['health', 'lifestyle', 'general']","['hi', 'en-US', 'en', 'ur', 'en-IN', 'en-GB', 'bn', 'bn-IN', 'zxx', 'ta', 'id']",#viral,0,-0.714,declining,Too late,"face powder, face mask, sunscreen, foundation, highlighter, perfume, contour, moisturizer, body scrub, blush, lipstick, eyeliner, comb, hair treatment, hair wax, hair dryer, primer, concealer, mascara, body mist, serum, eyeshadow, matte lipstick, face scrub, setting powder, body lotion, lip liner, lip gloss, bronzer, keratin treatment, shampoo, waterproof mascara, toner, whitening cream, beauty blender, body butter, lip balm, hair serum, scalp treatment, body cream, eye cream, conditioner, hair gel, setting spray, makeup remover, body wash, makeup brush, lip brush, makeup palette, curling iron, exfoliator, night cream, eye serum, lip tint, foundation stick, lip plumper, brow gel, foundation primer, lip mask, hair oil, body shimmer, body polish, body spray, hair clip, hair brush, liquid lipstick, lip lacquer, hand cream, deodorant, eyebrow powder, stick foundation, herbal cream, nail polish, face oil, liquid eyeliner, cream contour, lip oil, hair mask, lash curler, eyelash curler, glossy lipstick, brow pencil, loose powder, lip pencil, hair cream, headband, exfoliating glove, body oil, body moisturizer, body serum, hair spray, hair mousse, massage oil, beard oil, eye makeup remover, makeup brush set, brush set, night serum, cream blush, dry shampoo, false eyelashes, shower gel, eyebrow pen, eyebrow pencil, sheet mask, lip crayon, lip butter, liquid foundation, gua sha, essential oil, face mist, body mask, powder highlighter, tinted moisturizer, eye cream gel, face primer, pressed powder, brow pomade, compact powder, illuminator, cream highlighter, acne treatment, sunblock, gel eyeliner, detox mask, shaving cream, brightening serum, retinol cream, eyelash serum, hair styling cream, powder contour","UV Defender
Bright & Clear UV Serum Protector / Sunscreen SPF 50+",100,"[('Redken', 67), ('Lancôme', 57), ('Ralph Lauren Beauty', 53)]","['Redken', 'Lancôme', 'Ralph Lauren Beauty']","[67, 57, 53]"
#hairstyle,hashtag,youtube,7/9/2025,1307,9304776,"{'gen_z': np.float64(0.72), 'millennials': np.float64(0.28)}","['lifestyle', 'health']","['en', 'en-IN', 'hi', 'en-US', 'ta', 'de', 'en-GB', 'bn', 'ur', 'ru', 'zxx']",#hairstyle,0.5,0.333,emerging,Hop on now,"lipstick, eyeliner, eyeshadow, foundation, headband, shampoo, hair mist, primer, hair treatment, sunscreen, blush, comb, face powder, contour, concealer, liquid foundation, dry shampoo, hair styling cream, hair dryer, moisturizer, mascara, highlighter, bronzer, powder highlighter, conditioner, matte lipstick, curling iron, hair clip, makeup brush, makeup remover, serum, hair growth serum, perfume, hair serum, nail polish, nail polish remover, hair mask, foundation primer, hair spray, body mist, lip liner, hair brush, hair oil, face cleanser, heat protectant spray, hair wax, toner, lip gloss, eyebrow powder, face scrub, setting spray, setting powder, body scrub, gel eyeliner, liquid eyeliner, hydrating mask, keratin treatment, waterproof mascara, illuminator, makeup palette, body polish, acne treatment, eye cream, hair gel, face mask, loose powder, body wash, deodorant, scalp treatment, hair mousse, brow gel, body lotion, body shimmer, lip balm, hair pomade, hair vitamin spray, shaving cream, lip butter, eye serum, beauty blender, eyeshadow brush, liquid lipstick","Infallible Lip Makeup
Infallible Matte Resistance Liquid Lipstick",100,"[('Garnier', 57)]",['Garnier'],[57]
#facialyoga,hashtag,youtube,7/9/2025,1245,327236,"{'gen_z': np.float64(0.52), 'millennials': np.float64(0.48)}","['health', 'lifestyle']","['en', 'hi']",#facialyoga,1,0.333,emerging,Hop on now,"gua sha, contour, moisturizer, massage oil, face mask, face mist, primer","Glycolic Bright
Glycolic Bright 8% [Melasyl ™ + Glycolic + Niacinamide] face serum for Dark Spot & Brightening 30ml",100,"[('Garnier', 57)]",['Garnier'],[57]
#antiaging,hashtag,youtube,7/9/2025,1174,705318,"{'gen_z': np.float64(0.43), 'millennials': np.float64(0.57)}","['health', 'lifestyle', 'general']","['hi', 'en-US', 'en-IN', 'en']",#antiaging,0,-0.333,declining,Too late,"gua sha, comb, jade roller, contour, serum, eyeshadow, moisturizer, sunscreen, lipstick, face mask, eye cream, foundation, face cleanser, conditioner, hair mask, acne treatment, massage oil, night serum, body lotion, body scrub, body wash, blush, hair serum, primer, mascara, eyeliner, brow pencil, cream eyeshadow, eyebrow pen, eyebrow pencil, highlighter, concealer, bronzer, toner, shampoo, lip gloss, body serum, face oil, night cream, whitening cream, body butter, body toner, body balm, face mist, sheet mask, hydrating toner, illuminator, sunblock, hand cream, foundation brush, hair tonic, body cream, brightening serum, makeup remover, makeup palette, detox mask, lip liner, powder blush, loose powder","Glycolic Bright
Anti-Dark Spot Exfoliant Peel",100,"[('Valentino', 56), ('Maison Margiela', 53)]","['Valentino', 'Maison Margiela']","[56, 53]"
#makeup,hashtag,youtube,7/9/2025,954,70248158,"{'gen_z': np.float64(0.46), 'millennials': np.float64(0.54)}","['lifestyle', 'general', 'health']","['en', 'en-GB', 'hi', 'en-IN', 'ml', 'es', 'id', 'en-US', 'ur', 'de-AT', 'mr', 'zxx', 'bn-IN', 'te', 'en-CA', 'es-419', 'bn', 'pt', 'hi-Latn', 'ar', 'en-AU', 'kn', 'es-ES']",#makeup,0,-0.333,declining,Too late,"bronzer, contour, lipstick, eyeliner, eyeshadow, face mask, hair mask, face powder, sunscreen, lip liner, foundation, highlighter, blush, shampoo, hair mist, comb, mascara, concealer, primer, hair treatment, serum, moisturizer, lip gloss, matte lipstick, cream blush, powder blush, glossy lipstick, hair serum, body mist, makeup brush, powder highlighter, loose powder, setting spray, liquid lipstick, lip pencil, brow pencil, eyebrow pen, eyebrow pencil, foundation stick, setting powder, perfume, body lotion, powder contour, brow pomade, toner, eye cream, hydrating toner, lip stain, lip crayon, lip tint, lip oil, brow gel, beauty blender, brush set, hair clip, waterproof mascara, makeup remover, face primer, hair dryer, lip balm, lip butter, tinted moisturizer, pressed powder, scalp treatment, compact powder, tweezers, body oil, makeup palette, illuminator, face palette, body wash, lip brush, body perfume, exfoliator, blending brush, keratin treatment, sunblock, lip plumper, stick foundation, false eyelashes, beard oil, foundation primer, hair spray, night cream, body butter, lip lacquer, liquid foundation, eyebrow powder, hyaluronic acid serum, hand cream, hair gel, conditioner, hair oil, powder brush, eye serum, body polish, deodorant, lash curler, eyelash curler, body spray, cream contour, mascara primer, headband, sheet mask, makeup organizer, face roller, gel eyeliner, cream highlighter, eyelash glue, cream eyeshadow, liquid eyeliner, curling iron, nail polish, acrylic nails, makeup brush set, eye shadow palette, kabuki brush, body cream, foundation brush, acne treatment, lip mask, body serum, face scrub, makeup sponge, eye makeup remover, face oil, body shimmer, dry shampoo, lip conditioner, brightening serum, hair cream, face mist, concealer brush, angled brush, pore minimizer, shower gel, body scrub, pore cleanser, hair growth serum, whitening cream, hair wax, kohl eyeliner, hair brush, night serum, gua sha, lip scrub, face cleanser, hot brush, retinol cream, body moisturizer, eyelid primer, compact concealer, detox mask, clay mask, body mask, massage oil, hair tie, micellar water, eyelash serum, eyeshadow brush","Infallible Lip Makeup
Infallible Matte Resistance Liquid Lipstick",100,"[('Garnier', 57), ('Maybelline New York', 53)]","['Garnier', 'Maybelline New York']","[57, 53]"
#39,hashtag,youtube,7/9/2025,925,0,"{'gen_z': np.float64(0.56), 'millennials': np.float64(0.44)}",[],[],#39,,,,,"serum, face mask, foundation, eyeshadow, highlighter, blush, makeup remover, shampoo, conditioner, hair spray, comb, perfume, jade roller, gua sha, acne treatment, body polish, acrylic nails, eyeliner, body mist, lipstick, contour, lip liner, sunblock, lip gloss, sunscreen, face mist, mascara, concealer, loose powder, makeup palette, lip balm, hair wax, setting powder, deodorant, lip scrub, body scrub, hair clip, bronzer, moisturizer, eye serum, face cleanser, toner, primer, hair serum, hair oil, hair treatment, scalp treatment, setting spray, brow gel, lip tint, brow pencil, eyebrow pen, eyebrow pencil, powder blush, makeup sponge, cream blush, whitening cream, headband, liquid lipstick, exfoliator, micellar water, lip butter, lash curler, eyelash curler, cushion foundation, hair mask, face oil, brightening serum, eye contour cream, hair brush, beard oil, powder highlighter, retinol cream, pressed powder, makeup brush, hair growth serum, body cream, face primer, matte lipstick, eyeshadow brush, fan brush, lip crayon, body butter, hair mist, body oil, eye shadow palette, keratin treatment, body lotion, lip pencil, foundation stick, face scrub, stick foundation, foundation primer, face powder, liquid foundation, eye cream, nail polish, hyaluronic acid serum, body serum, hydrating toner, liquid eyeliner, beauty blender, body wash, pore minimizer, face palette, compact powder, hair detangler, gel eyeliner, tinted moisturizer, dry shampoo, lip oil, illuminator, brush set, night cream, cream eyeshadow, straightening iron, waterproof mascara, concealer brush, shower gel, curling iron, hair dryer, lash adhesive, eyelash glue, essential oil, hydrating gel, body spray, kohl eyeliner, sheet mask, foundation brush, powder brush, hair clay, hair gel, face wipes, hair cream, facial foam, makeup brush set, shaving gel, aftershave, spa cream, lip stain, hot brush, hair pomade, false eyelashes, facial lotion, hair straightening cream, body shimmer, hair styling cream","Glycolic Bright
Glycolic Bright 8% [Melasyl ™ + Glycolic + Niacinamide] face serum for Dark Spot & Brightening 30ml",100,"[('NYX Professional Makeup', 52)]",['NYX Professional Makeup'],[52]
#grwm,hashtag,youtube,7/9/2025,915,7970465,"{'gen_z': np.float64(0.46), 'millennials': np.float64(0.54)}","['lifestyle', 'health']","['hi', 'en', 'en-US', 'en-GB', 'mr', 'en-IN', 'es-419', 'en-CA', 'ur', 'ml', 'ta']",#grwm,0.2,0,peak,Maintain visibility,"sunscreen, shampoo, hair mist, bronzer, foundation, primer, concealer, lipstick, contour, highlighter, blush, eyeliner, eyeshadow, comb, body lotion, mascara, perfume, setting powder, brow gel, powder blush, serum, moisturizer, lip balm, lip butter, cream blush, tinted moisturizer, body perfume, lip gloss, hair serum, setting spray, lip pencil, lip liner, lip tint, liquid lipstick, lip lacquer, deodorant, matte lipstick, eyebrow powder, hand cream, hair dryer, conditioner, hair gel, body oil, toner, night cream, lip oil, powder highlighter, face palette, loose powder, pressed powder, face powder, lip plumper, body mist, body spray, hair mask, face mask, hair oil, headband, foundation stick, body wash, face oil, essential oil, brow pencil, eyebrow pen, eyebrow pencil, beauty blender, brush set, hair spray, lip stain, waterproof mascara, face mist, curling iron, gel eyeliner, hair growth serum, lip mask, hair cream, nail polish, cream contour, eyebrow brush, hair tie, stick foundation, dry shampoo, compact powder, heat protectant spray, hair wax, makeup brush, angled brush, foundation brush, concealer brush, liquid eyeliner, sheet mask, eye cream, exfoliator, face scrub, brightening serum, retinol cream, eye serum, face primer, lip scrub, eye makeup remover, makeup remover, liquid foundation, body cream, body moisturizer, lash curler, eyelash curler, lash adhesive, repair cream, eyelash serum, body butter, foundation primer","UV Defender
Bright & Clear UV Serum Protector / Sunscreen SPF 50+",100,"[('Redken', 67), ('Garnier', 57), ('Maybelline New York', 53)]","['Redken', 'Garnier', 'Maybelline New York']","[67, 57, 53]"
#haircare,hashtag,youtube,7/9/2025,844,1249917,"{'gen_z': np.float64(0.75), 'millennials': np.float64(0.25)}","['lifestyle', 'general']","['hi', 'en-US', 'en', 'ur', 'en-IN', 'zxx', 'az', 'bn']",#haircare,0,0.333,peak,Maintain visibility,"lipstick, eyeliner, eyeshadow, hair treatment, sunscreen, foundation, blush, comb, serum, hair serum, shampoo, conditioner, perfume, face mask, hair wax, body wash, hair oil, hair mask, scalp treatment, keratin treatment, body oil, body cream, toner, highlighter, liquid lipstick, compact powder, pressed powder, primer, body perfume, body scrub, nail polish, nail polish remover, mascara, concealer, contour, foundation primer, hair spray, hair dryer, hair clip, curling iron, hair mist, hyaluronic acid serum, hair growth serum, acne treatment, moisturizer, body butter, face cleanser, body lotion, hair gel, lip oil, shower gel, setting spray, hair detangler, exfoliating glove, lip mask, hair brush, headband, dry shampoo, massage oil, makeup remover, lip liner, hair cream, exfoliator, brow gel, setting powder, bronzer, hair mousse, brightening serum, sunblock, lip tint, body shimmer, heat protectant spray, hair vitamin spray","Infallible Lip Makeup
Infallible Matte Resistance Liquid Lipstick",100,"[('Prada', 60), ('Viktor & Rolf', 54), ('Ralph Lauren Beauty', 53)]","['Prada', 'Viktor & Rolf', 'Ralph Lauren Beauty']","[60, 54, 53]"
#glowingskin,hashtag,youtube,7/9/2025,831,1040581,"{'gen_z': np.float64(0.66), 'millennials': np.float64(0.34)}","['general', 'lifestyle', 'health']","['id', 'en-IN', 'hi', 'en', 'en-CA', 'en-US']",#glowingskin,0,0.333,peak,Maintain visibility,"foundation, contour, serum, body scrub, bronzer, primer, moisturizer, lipstick, blush, face mask, liquid lipstick, lip pencil, mascara, eyeliner, brow pencil, eyebrow pen, eyebrow pencil, highlighter, cream blush, foundation stick, sunscreen, face scrub, body wash, whitening cream, eyeshadow, cream highlighter, face cleanser, toner, comb, night cream, shampoo, body lotion, gua sha, lip liner, acne treatment, soothing gel, face mist, micellar water, makeup remover, conditioner, hair mask, hair oil, hair spray, hair cream, hair wax, hair dryer, beard oil, setting spray, face primer, eye cream, brightening serum, concealer, face oil, lip butter, liquid foundation, body milk, massage oil, illuminator, lip gloss, exfoliator, night serum, hair serum, perfume, lip oil, headband, sunblock, deodorant, body shimmer, hydrating toner, setting powder, stick foundation, facial foam, body oil, lip mask, hair brush, body butter, lip balm, clay mask, sheet mask, lip scrub, body polish, hair treatment, body spray, brightening body lotion, essential oil, loose powder, tinted moisturizer, matte lipstick, makeup palette, hand cream, body mist, powder blush, lash curler, eyelash curler, eyelid primer, face palette, body cream, body exfoliator, detox mask, body serum, kohl eyeliner","Infallible
32H FreshWear Foundation",100,"[('Carita', 67), ('Garnier', 57), ('SkinCeuticals', 54)]","['Carita', 'Garnier', 'SkinCeuticals']","[67, 57, 54]"
#fashion,hashtag,youtube,7/9/2025,809,6730420,"{'gen_z': np.float64(0.61), 'millennials': np.float64(0.39)}","['lifestyle', 'general', 'health']","['en', 'en-GB', 'en-US', 'ta', 'zxx', 'en-IN', 'ur', 'hi', 'id', 'mr', 'pl', 'es', 'ml']",#fashion,1,0,peak,Maintain visibility,"shampoo, hair mist, highlighter, serum, eyeliner, lipstick, foundation, blush, eyeshadow, matte lipstick, mascara, hair clip, makeup brush, lip balm, lip scrub, lip mask, comb, conditioner, concealer, moisturizer, sunscreen, contour, perfume, lip liner, hair dryer, pressed powder, headband, primer, bronzer, body lotion, hair treatment, body mist, night cream, keratin treatment, hair serum, face mask, setting spray, stick foundation, body wash, hair tonic, lip gloss, beard oil, liquid foundation, beauty blender, curling iron, brow pencil, eyebrow pen, eyebrow pencil, body spray, hair growth serum, lip pencil, body oil, lip oil, hair oil, heat protectant spray, hair wax, hair mask, cream eyeshadow, acne treatment, sunblock, makeup palette, hair tie, body cream, scalp treatment, gel eyeliner, liquid eyeliner, powder highlighter, eye makeup remover, makeup remover, makeup brush set, brush set, hair spray, body shimmer, loose powder, lip butter, hair cream, foot mask, exfoliator, toner, setting powder, whitening cream, face scrub, body mask, deodorant, hair brush, brightening serum, face cleanser, eye cream, micellar water, sheet mask, face oil, retinol cream, eye serum, face primer, tinted moisturizer, hand cream, body moisturizer, foundation brush, illuminator, compact concealer, detox mask, shaving cream, liquid lipstick, waterproof mascara","Elseve
Hyaluron Pure 72H Rehydrating Conditioner",100,"[('Carita', 67), ('Aēsop', 60), ('Valentino', 56)]","['Carita', 'Aēsop', 'Valentino']","[67, 60, 56]"
#shorts,hashtag,youtube,7/9/2025,803,37255097,"{'gen_z': np.float64(0.59), 'millennials': np.float64(0.41)}","['lifestyle', 'health', 'general']","['hi', 'en', 'ru', 'ur', 'en-GB', 'en-IN', 'en-US', 'ta', 'bn-IN', 'bn', 'zxx', 'hi-Latn', 'or', 'fa-IR', 'id', 'kn', 'te', 'zh-CN', 'ar', 'it']",#shorts,-0.111,0.667,peak,Maintain visibility,"moisturizer, body lotion, face powder, lipstick, eyeliner, eyeshadow, face mask, foundation, blush, serum, lip liner, sunscreen, perfume, shampoo, hair mist, gua sha, contour, concealer, body serum, primer, hair treatment, highlighter, bronzer, body scrub, lip gloss, cream blush, powder blush, comb, glossy lipstick, acne treatment, body polish, acrylic nails, hair detangler, body mist, hair serum, brightening serum, hair wax, hair dryer, compact powder, matte lipstick, makeup brush, exfoliator, shaving cream, face palette, foundation stick, liquid lipstick, liquid foundation, mascara, deodorant, face scrub, lip balm, curling iron, setting powder, toner, face mist, hair clip, lip lacquer, brow pomade, eye cream, hydrating toner, lip stain, hydrating gel, lip crayon, lip tint, brow gel, beauty blender, brush set, setting spray, keratin treatment, hand cream, night cream, cream highlighter, loose powder, conditioner, makeup remover, face primer, waterproof mascara, foot cream, brush cleaner, hair mousse, scalp treatment, body butter, lip pencil, body oil, headband, hair spray, hair mask, hair oil, lip brush, clay mask, nail polish, pressed powder, body cream, body shimmer, face oil, lip oil, brow pencil, hair gel, illuminator, eyebrow pen, eyebrow pencil, powder contour, body wash, makeup palette, blending brush, makeup brush set, sunblock, nail polish remover, dry shampoo, eye shadow palette, makeup sponge, tinted moisturizer, sheet mask, beard oil, foundation brush, hair brush, foundation primer, lip mask, body spray, lip butter, powder highlighter, hair growth serum, fan brush, eyebrow powder, exfoliating glove, stick foundation, herbal cream, cream eyeshadow, cream contour, night serum, micellar water, essential oil, makeup organizer, face roller, lash curler, eyelash curler, gel eyeliner, curl cream, shower gel, lip scrub, kohl eyeliner, rejuvenating cream, hair tie, liquid eyeliner, body milk, facial roller, massage oil, eye makeup remover, body mask, body wash gel, face cleanser, whitening cream, tweezers, concealer brush, smoothing cream, hair cream, lip plumper, foot mask, eyelid primer, hair essence, hair straightening cream, hair tonic, hair strengthening mask, powder brush, eyebrow brush, eye cream gel, body toner, spa cream, hot brush, angled brush, body moisturizer, eye serum, heat protectant spray, facial lotion, body exfoliator, body perfume, false eyelashes, hair clay, hair styling cream, hyaluronic acid serum","Glycolic Bright
Glycolic Bright 8% [Melasyl ™ + Glycolic + Niacinamide] face serum for Dark Spot & Brightening 30ml",100,"[('Garnier', 57), ('Maybelline New York', 53), ('NYX Professional Makeup', 52)]","['Garnier', 'Maybelline New York', 'NYX Professional Makeup']","[57, 53, 52]"
#ytshorts,hashtag,youtube,7/9/2025,762,7057467,"{'gen_z': np.float64(0.74), 'millennials': np.float64(0.26)}","['lifestyle', 'health', 'general']","['hi', 'en', 'en-IN', 'zxx', 'en-US', 'ur']",#ytshorts,0,0,declining,Too late,"shampoo, hair mist, perfume, gua sha, sunscreen, lipstick, face mask, foundation, blush, concealer, contour, hair wax, hair dryer, eyeliner, bronzer, highlighter, eyeshadow, serum, face scrub, comb, hair clip, lip liner, hair treatment, hair mask, mascara, toner, body lotion, body scrub, lip balm, hair serum, moisturizer, hair oil, scalp treatment, eye cream, body shimmer, hair gel, lip gloss, body wash, body mist, night cream, primer, eye serum, face powder, lip tint, matte lipstick, foundation stick, sunblock, sheet mask, loose powder, face primer, lip mask, body spray, exfoliator, setting spray, eyebrow powder, stick foundation, makeup brush, hair growth serum, lip oil, lip lacquer, liquid lipstick, compact powder, hair spray, lash curler, eyelash curler, shower gel, brow pencil, waterproof mascara, brow gel, hand cream, cream eyeshadow, eyebrow pen, eyebrow pencil, lip pencil, keratin treatment, headband, face oil, body serum, beard oil, setting powder, deodorant, lip butter, smoothing cream, hair cream, conditioner, body butter, body oil, acne treatment, makeup remover, face palette, nail polish, powder blush, cream contour, hair brush, foot cream, gel eyeliner, liquid eyeliner, glossy lipstick, makeup palette, detox mask, cream blush, lip crayon, hyaluronic acid serum, hot brush, hair mousse","Elseve
Hyaluron Pure 72H Rehydrating Conditioner",100,"[('Essie', 60)]",['Essie'],[60]
#viralvideo,hashtag,youtube,7/9/2025,757,1136088,"{'gen_z': np.float64(0.46), 'millennials': np.float64(0.54)}","['lifestyle', 'general']","['hi', 'as', 'en', 'ur']",#viralvideo,1,0.333,emerging,Hop on now,"contour, serum, body serum, hair treatment, lipstick, eyeliner, hair serum, foundation, highlighter, blush, mascara, eyeshadow, comb, body lotion, perfume, concealer, bronzer, face mask, keratin treatment, shampoo, hair oil, dry shampoo, body spray, shaving cream, lip liner, brow gel, lip gloss, setting spray, sunscreen, night cream, face powder, lip balm, lip tint, matte lipstick, foundation stick, sunblock, lip plumper, hair mask, primer, face primer, powder blush, foundation primer, toner, lip stain, hand cream, hair brush, moisturizer, hair mist, hair gel, hair growth serum, scalp treatment, cream contour, liquid lipstick, body mist, body wash, deodorant, nail polish, conditioner, setting powder, lip oil, loose powder, essential oil, hair spray, massage oil, eye makeup remover, makeup remover, makeup brush set, makeup brush, makeup palette, brush set, headband, exfoliator, hair dryer, body polish, lip butter, body scrub, body oil, body shimmer, hair clip, cream blush, brow pencil, eyebrow pen, eyebrow pencil, lip mask, blending brush, body cream, stick foundation, compact powder, cream highlighter, illuminator, detox mask, brightening serum, face scrub, sheet mask, lip pencil","Glycolic Bright
Glycolic Bright 8% [Melasyl ™ + Glycolic + Niacinamide] face serum for Dark Spot & Brightening 30ml",100,,,
#short,hashtag,youtube,7/9/2025,748,3085219,"{'gen_z': np.float64(0.73), 'millennials': np.float64(0.27)}","['lifestyle', 'general', 'health']","['ru', 'en', 'hi', 'en-IN', 'en-US', 'zxx', 'ml']",#short,0.5,0,peak,Maintain visibility,"sunscreen, foundation, gua sha, perfume, blush, hair treatment, contour, bronzer, acne treatment, shampoo, body polish, acrylic nails, hair wax, hair dryer, eyeliner, primer, lip liner, lipstick, highlighter, deodorant, hair clip, concealer, eyeshadow, comb, brow pomade, cream highlighter, body lotion, moisturizer, serum, lip gloss, mascara, body serum, hair serum, body cream, night cream, nail polish, nail polish remover, body mist, foundation primer, toner, lip balm, hair oil, fan brush, hair spray, face mask, body wash, illuminator, face oil, liquid lipstick, liquid eyeliner, eye serum, body shimmer, sunblock, makeup organizer, face roller, lip tint, conditioner, waterproof mascara, face palette, keratin treatment, compact powder, hair gel, headband, setting spray, body spray, body scrub, matte lipstick, hydrating mask, stick foundation, foundation stick, loose powder, setting powder, beard oil, lash curler, eyelash curler, makeup brush, hair mask, dry shampoo, hair cream, lip crayon, body butter, body oil, brow pencil, face mist, liquid foundation, foundation brush, lip pencil, eyebrow pen, eyebrow pencil, cream contour, hair brush, hand cream, lip mask, makeup remover, night serum, face primer, blending brush, brush set, face cleanser, foot cream, gel eyeliner, brightening serum, cream blush, powder blush, eye makeup remover, body perfume, lip butter, glossy lipstick, hair growth serum, curling iron, eye cream, hair tie, powder highlighter","UV Defender
Bright & Clear UV Serum Protector / Sunscreen SPF 50+",100,"[('Redken', 67), ('Helena Rubinstein', 53)]","['Redken', 'Helena Rubinstein']","[67, 53]"
#lipstick,hashtag,youtube,7/9/2025,676,24472980,"{'gen_z': np.float64(0.51), 'millennials': np.float64(0.49)}","['lifestyle', 'general']","['en', 'hi', 'en-US', 'en-GB', 'en-CA', 'ur', 'zxx', 'en-IN', 'as', 'kn']",#lipstick,0,0.333,peak,Maintain visibility,"lipstick, eyeliner, eyeshadow, comb, blush, bronzer, highlighter, contour, serum, body mist, foundation, mascara, moisturizer, primer, concealer, powder highlighter, lip gloss, matte lipstick, sunscreen, loose powder, powder contour, lip liner, glossy lipstick, lip pencil, face powder, lip balm, lip tint, foundation stick, lip plumper, stick foundation, brow gel, face primer, foundation primer, shampoo, setting spray, brow pencil, cream blush, hair dryer, eyebrow pen, eyebrow pencil, body lotion, gel eyeliner, liquid foundation, lip crayon, liquid lipstick, makeup organizer, face roller, face mask, lip oil, perfume, cream eyeshadow, liquid eyeliner, eye shadow palette, makeup brush, brow pomade, body serum, toner, nail polish, lash curler, eyelash curler, body wash, makeup remover, hair serum, cream contour, whitening cream, lip butter, setting powder, hair growth serum, face mist, compact powder, powder blush, makeup palette, illuminator, detox mask, body polish","Infallible Lip Makeup
Infallible Matte Resistance Liquid Lipstick",100,"[('Redken', 67), ('Maison Margiela', 60), ('Valentino', 56)]","['Redken', 'Maison Margiela', 'Valentino']","[67, 60, 56]"
