trend_id,token_type,platform,date,volume,engagement,audience_signals,category,geo,raw_token,growth_rate_7d,acceleration,current_stage,recommended_action,sweet_spot_days_left
#beauty,hashtag,youtube,2025-09-08,494,44001722,"{'gen_z': np.float64(0.52), 'millennials': np.float64(0.48)}","['lifestyle', 'general', 'health']","['en-US', 'en', 'hi', 'en-IN', 'en-GB', 'id', 'de-AT', 'ur', 'zxx', 'es-419', 'en-CA', 'pt', 'mr', 'ru', 'ta', 'ko', 'ne', 'de']",#beauty,0.0,0.0,declining,Too late,0.0
##makeupshorts,hashtag,youtube,2025-09-08,490,3169393,"{'gen_z': np.float64(0.74), 'millennials': np.float64(0.26)}",['lifestyle'],"['hi', 'en', 'en-IN', 'ur']",##makeupshorts,1.0,0.333,emerging,Hop on now,7.0
##makeupartist,hashtag,youtube,2025-09-08,488,282102,"{'gen_z': np.float64(0.41), 'millennials': np.float64(0.59)}",['lifestyle'],"['en-GB', 'hi', 'en-IN', 'en', 'id', 'zxx']",##makeupartist,1.0,0.333,emerging,Hop on now,7.0
##ootd,hashtag,youtube,2025-09-08,453,51261,"{'gen_z': np.float64(0.72), 'millennials': np.float64(0.28)}",['lifestyle'],"['hi', 'en', 'en-IN', 'zxx', 'en-GB', 'en-US', 'en-CA']",##ootd,1.0,0.0,peak,Maintain visibility,0.0
##trendingshorts,hashtag,youtube,2025-09-08,445,1121510,"{'gen_z': np.float64(0.66), 'millennials': np.float64(0.34)}",['lifestyle'],['hi'],##trendingshorts,1.0,0.333,emerging,Hop on now,7.0
##fit,hashtag,youtube,2025-09-08,441,0,"{'gen_z': np.float64(0.46), 'millennials': np.float64(0.54)}",[],[],##fit,1.0,0.333,emerging,Hop on now,7.0
##blush,hashtag,youtube,2025-09-08,432,20016807,"{'gen_z': np.float64(0.74), 'millennials': np.float64(0.26)}",['lifestyle'],"['en', 'hi', 'en-US', 'en-GB', 'es', 'en-AU', 'en-IN']",##blush,1.0,0.333,emerging,Hop on now,7.0
##beautytips,hashtag,youtube,2025-09-08,418,465660,"{'gen_z': np.float64(0.51), 'millennials': np.float64(0.49)}","['health', 'lifestyle']","['en-US', 'en-IN', 'ur', 'en']",##beautytips,0.0,0.333,peak,Maintain visibility,0.0
##aesthetic,hashtag,youtube,2025-09-08,414,926663,"{'gen_z': np.float64(0.56), 'millennials': np.float64(0.44)}",['lifestyle'],"['en', 'zxx', 'en-IN', 'en-US', 'hi', 'es', 'en-GB']",##aesthetic,1.0,0.0,peak,Maintain visibility,0.0
##contour,hashtag,youtube,2025-09-08,409,1296477,"{'gen_z': np.float64(0.53), 'millennials': np.float64(0.47)}",['lifestyle'],"['en', 'ml', 'hi', 'en-GB', 'ur', 'en-US', 'ar', 'en-IN']",##contour,2.0,0.667,emerging,Hop on now,7.0
##viralshorts,hashtag,youtube,2025-09-08,394,1611614,"{'gen_z': np.float64(0.61), 'millennials': np.float64(0.39)}",['lifestyle'],"['hi', 'ur', 'en', 'en-US']",##viralshorts,0.5,1.0,emerging,Hop on now,7.0
##makeuphacks,hashtag,youtube,2025-09-08,392,170397,"{'gen_z': np.float64(0.62), 'millennials': np.float64(0.38)}","['lifestyle', 'health']","['en', 'hi']",##makeuphacks,1.0,0.333,emerging,Hop on now,7.0
##haircolor,hashtag,youtube,2025-09-08,380,3171571,"{'gen_z': np.float64(0.65), 'millennials': np.float64(0.35)}","['lifestyle', 'food']","['en-US', 'en', 'ur', 'ru', 'en-IN', 'ta', 'hi', 'id']",##haircolor,0.5,0.0,peak,Maintain visibility,0.0
##hairstyles,hashtag,youtube,2025-09-08,377,6320100,"{'gen_z': np.float64(0.67), 'millennials': np.float64(0.33)}",['lifestyle'],"['mr', 'en', 'hi', 'en-US', 'ta', 'en-IN', 'en-GB', 'ur', 'ru', 'zxx']",##hairstyles,0.2,1.0,peak,Maintain visibility,7.0
##youtube,hashtag,youtube,2025-09-08,371,4461517,"{'gen_z': np.float64(0.72), 'millennials': np.float64(0.28)}",['lifestyle'],"['en-US', 'en', 'en-GB', 'hi', 'ur', 'en-IN', 'ru', 'zxx']",##youtube,0.0,-0.333,declining,Too late,0.0
#hair,hashtag,youtube,2025-09-08,361,8973108,"{'gen_z': np.float64(0.52), 'millennials': np.float64(0.48)}","['lifestyle', 'health', 'food']","['en', 'ur', 'en-GB', 'en-US', 'zxx', 'hi', 'ta', 'bn', 'ar', 'ru', 'en-IN', 'az']",#hair,0.0,0.333,peak,Maintain visibility,0.0
##style,hashtag,youtube,2025-09-08,357,989715,"{'gen_z': np.float64(0.62), 'millennials': np.float64(0.38)}",['lifestyle'],"['en', 'en-GB', 'en-US', 'hi', 'ur', 'id', 'zxx', 'ml']",##style,0.5,0.0,peak,Maintain visibility,0.0
##makeuptips,hashtag,youtube,2025-09-08,349,136585,"{'gen_z': np.float64(0.61), 'millennials': np.float64(0.39)}",['lifestyle'],"['ur', 'en', 'hi']",##makeuptips,0.0,0.333,peak,Maintain visibility,0.0
##shortsvideo,hashtag,youtube,2025-09-08,328,216066,"{'gen_z': np.float64(0.5), 'millennials': np.float64(0.5)}",['lifestyle'],"['as', 'en', 'hi', 'es-419']",##shortsvideo,0.0,0.0,declining,Too late,0.0
##styling,hashtag,youtube,2025-09-08,308,2366831,"{'gen_z': np.float64(0.49), 'millennials': np.float64(0.51)}",['lifestyle'],"['hi', 'en', 'ta', 'en-CA', 'en-GB', 'en-IN', 'ur', 'en-US']",##styling,1.0,0.333,emerging,Hop on now,7.0
#skincare,hashtag,youtube,2025-09-08,305,7972476,"{'gen_z': np.float64(0.45), 'millennials': np.float64(0.55)}","['health', 'lifestyle', 'general']","['en-US', 'ml', 'id', 'en', 'en-IN', 'ur', 'en-GB', 'hi', 'es-419', 'ta', 'hi-Latn', 'te', 'zxx', 'ko', 'en-CA', 'fa-IR']",#skincare,0.0,1.0,peak,Maintain visibility,0.0
##makeuplook,hashtag,youtube,2025-09-08,302,1409546,"{'gen_z': np.float64(0.44), 'millennials': np.float64(0.56)}",['lifestyle'],"['hi', 'en-GB', 'en', 'ur', 'en-US', 'zxx']",##makeuplook,2.0,0.333,emerging,Hop on now,7.0
##beautiful,hashtag,youtube,2025-09-08,291,1456638,"{'gen_z': np.float64(0.68), 'millennials': np.float64(0.32)}",['lifestyle'],"['en', 'ur', 'hi', 'en-US', 'zxx', 'en-GB']",##beautiful,1.0,0.0,peak,Maintain visibility,0.0
##facemassage,hashtag,youtube,2025-09-08,285,961208,"{'gen_z': np.float64(0.55), 'millennials': np.float64(0.45)}","['lifestyle', 'health', 'general']","['hi', 'en-US', 'en-IN', 'en']",##facemassage,0.0,-0.333,declining,Too late,0.0
##face,hashtag,youtube,2025-09-08,284,142391,"{'gen_z': np.float64(0.62), 'millennials': np.float64(0.38)}","['health', 'lifestyle']","['zxx', 'en-US', 'en', 'hi']",##face,1.0,0.333,emerging,Hop on now,7.0
##transformation,hashtag,youtube,2025-09-08,282,6031336,"{'gen_z': np.float64(0.59), 'millennials': np.float64(0.41)}","['lifestyle', 'health', 'general']","['en', 'en-GB', 'id', 'bn-IN', 'hi', 'en-US', 'pt', 'en-IN', 'tr', 'ur']",##transformation,2.0,0.667,emerging,Hop on now,7.0
##subscribe,hashtag,youtube,2025-09-08,277,1527773,"{'gen_z': np.float64(0.53), 'millennials': np.float64(0.47)}","['health', 'lifestyle', 'general']","['hi', 'en-US', 'en', 'en-IN', 'ur', 'en-GB']",##subscribe,1.0,0.333,emerging,Hop on now,7.0
##love,hashtag,youtube,2025-09-08,273,1160242,"{'gen_z': np.float64(0.8), 'millennials': np.float64(0.2)}","['lifestyle', 'general', 'health']","['hi', 'en-GB', 'en', 'en-US', 'ur']",##love,1.0,0.333,emerging,Hop on now,7.0
#trending,hashtag,youtube,2025-09-08,264,7264627,"{'gen_z': np.float64(0.72), 'millennials': np.float64(0.28)}","['health', 'lifestyle', 'general', 'food']","['hi', 'en', 'ur', 'bn-IN', 'en-GB', 'en-IN', 'zxx', 'en-US', 'ta']",#trending,-0.1,-0.714,declining,Too late,0.0
##sugarfamily,hashtag,youtube,2025-09-08,263,0,"{'gen_z': np.float64(0.53), 'millennials': np.float64(0.47)}",[],[],##sugarfamily,,,,,
##tiktok,hashtag,youtube,2025-09-08,259,9011417,"{'gen_z': np.float64(0.61), 'millennials': np.float64(0.39)}","['lifestyle', 'general', 'health']","['en-IN', 'en', 'de-AT', 'en-US', 'hi', 'ur', 'zxx', 'en-GB']",##tiktok,1.0,0.667,emerging,Hop on now,7.0
##foryou,hashtag,youtube,2025-09-08,255,14493,"{'gen_z': np.float64(0.74), 'millennials': np.float64(0.26)}","['health', 'lifestyle']","['en-US', 'en']",##foryou,0.333,0.0,peak,Maintain visibility,0.0
#viral,hashtag,youtube,2025-09-08,254,9761164,"{'gen_z': np.float64(0.58), 'millennials': np.float64(0.42)}","['health', 'lifestyle', 'general']","['hi', 'en-US', 'en', 'ur', 'en-IN', 'en-GB', 'bn', 'bn-IN', 'zxx', 'ta', 'id']",#viral,0.0,-0.714,declining,Too late,0.0
##eyeliner,hashtag,youtube,2025-09-08,250,18843938,"{'gen_z': np.float64(0.64), 'millennials': np.float64(0.36)}","['lifestyle', 'general']","['en', 'hi', 'ur', 'ar', 'en-US', 'en-IN']",##eyeliner,1.0,0.333,emerging,Hop on now,7.0
##reels,hashtag,youtube,2025-09-08,247,2493396,"{'gen_z': np.float64(0.47), 'millennials': np.float64(0.53)}","['lifestyle', 'general']","['bn', 'hi', 'or', 'ur', 'en', 'en-US']",##reels,1.0,0.667,emerging,Hop on now,7.0
#hairstyle,hashtag,youtube,2025-09-08,243,9304776,"{'gen_z': np.float64(0.45), 'millennials': np.float64(0.55)}","['lifestyle', 'health']","['en', 'en-IN', 'hi', 'en-US', 'ta', 'de', 'en-GB', 'bn', 'ur', 'ru', 'zxx']",#hairstyle,0.5,0.333,emerging,Hop on now,7.0
##eyes,hashtag,youtube,2025-09-08,241,1113766,"{'gen_z': np.float64(0.55), 'millennials': np.float64(0.45)}","['lifestyle', 'health']","['en', 'en-US', 'ar', 'en-GB', 'hi']",##eyes,1.0,0.333,emerging,Hop on now,7.0
##hack,hashtag,youtube,2025-09-08,241,1191419,"{'gen_z': np.float64(0.48), 'millennials': np.float64(0.52)}",['lifestyle'],"['en-IN', 'hi', 'en']",##hack,0.0,0.0,declining,Too late,0.0
##makeuptransformation,hashtag,youtube,2025-09-08,241,141467,"{'gen_z': np.float64(0.57), 'millennials': np.float64(0.43)}",['lifestyle'],['en'],##makeuptransformation,1.0,0.333,emerging,Hop on now,7.0
#hair transformation,hashtag,youtube,2025-09-08,240,5429774,"{'gen_z': np.float64(0.66), 'millennials': np.float64(0.34)}","['lifestyle', 'health', 'general']","['en-US', 'ur', 'hi', 'en-GB', 'en', 'en-IN', 'zxx', 'ml', 'te']",#hair transformation,0.0,-0.25,declining,Too late,0.0
##curlyhair,hashtag,youtube,2025-09-08,237,252072,"{'gen_z': np.float64(0.63), 'millennials': np.float64(0.37)}",['lifestyle'],"['en-CA', 'en', 'en-US']",##curlyhair,1.0,0.333,emerging,Hop on now,7.0
##ad,hashtag,youtube,2025-09-08,237,64627,"{'gen_z': np.float64(0.55), 'millennials': np.float64(0.45)}",['lifestyle'],['en-IN'],##ad,1.0,0.333,emerging,Hop on now,7.0
##selfcare,hashtag,youtube,2025-09-08,234,135417,"{'gen_z': np.float64(0.49), 'millennials': np.float64(0.51)}",['lifestyle'],"['hi', 'en', 'en-US']",##selfcare,0.5,0.333,emerging,Hop on now,7.0
##wigs,hashtag,youtube,2025-09-08,233,1166548,"{'gen_z': np.float64(0.77), 'millennials': np.float64(0.23)}","['lifestyle', 'health']","['en', 'en-US', 'en-GB', 'pt', 'hi']",##wigs,0.5,1.0,emerging,Hop on now,7.0
##hairtutorial,hashtag,youtube,2025-09-08,232,27516,"{'gen_z': np.float64(0.67), 'millennials': np.float64(0.33)}",['lifestyle'],"['en', 'bn', 'zxx']",##hairtutorial,1.0,0.0,peak,Maintain visibility,0.0
##longhair,hashtag,youtube,2025-09-08,228,25950,"{'gen_z': np.float64(0.77), 'millennials': np.float64(0.23)}",['lifestyle'],"['hi', 'sv', 'ur', 'en-US', 'az', 'en']",##longhair,1.0,0.333,emerging,Hop on now,7.0
##tutorial,hashtag,youtube,2025-09-08,228,2836758,"{'gen_z': np.float64(0.47), 'millennials': np.float64(0.53)}","['lifestyle', 'general']","['en-GB', 'es', 'en-US', 'en', 'id', 'es-419', 'hi', 'ar', 'pt', 'en-IN', 'ur', 'pl', 'ko']",##tutorial,1.0,0.333,emerging,Hop on now,7.0
##ashortaday,hashtag,youtube,2025-09-08,225,766883,"{'gen_z': np.float64(0.52), 'millennials': np.float64(0.48)}","['lifestyle', 'health']","['en', 'hi', 'en-IN']",##ashortaday,1.0,0.333,emerging,Hop on now,7.0
#how to,hashtag,youtube,2025-09-08,223,10125966,"{'gen_z': np.float64(0.79), 'millennials': np.float64(0.21)}","['lifestyle', 'general', 'health']","['en-US', 'en', 'ur', 'en-IN', 'hi', 'es', 'id', 'ta', 'en-GB', 'ar', 'bn-IN', 'zxx', 'en-AU']",#how to,0.0,0.0,declining,Too late,0.0
##foundation,hashtag,youtube,2025-09-08,222,21132165,"{'gen_z': np.float64(0.66), 'millennials': np.float64(0.34)}","['lifestyle', 'general']","['hi', 'en', 'en-IN', 'en-US', 'en-GB', 'ur', 'ta', 'mr']",##foundation,1.0,0.333,emerging,Hop on now,7.0
##hairstyling,hashtag,youtube,2025-09-08,220,2489887,"{'gen_z': np.float64(0.52), 'millennials': np.float64(0.48)}",['lifestyle'],"['en', 'hi', 'en-US', 'ur', 'en-GB']",##hairstyling,1.0,0.333,emerging,Hop on now,7.0
#youtube shorts,hashtag,youtube,2025-09-08,218,6985495,"{'gen_z': np.float64(0.67), 'millennials': np.float64(0.33)}","['lifestyle', 'health', 'general']","['en-GB', 'hi', 'en', 'ur', 'en-US', 'ta', 'en-IN', 'zxx', 'te']",#youtube shorts,-0.111,0.333,peak,Maintain visibility,0.0
#hair tutorial,hashtag,youtube,2025-09-08,213,9032643,"{'gen_z': np.float64(0.75), 'millennials': np.float64(0.25)}","['lifestyle', 'health']","['en-US', 'en-GB', 'en', 'ta', 'en-IN', 'ur', 'zxx', 'hi']",#hair tutorial,0.0,0.333,peak,Maintain visibility,0.0
##bridalmakeup,hashtag,youtube,2025-09-08,208,1207479,"{'gen_z': np.float64(0.65), 'millennials': np.float64(0.35)}",['lifestyle'],"['en', 'ur']",##bridalmakeup,1.0,0.333,emerging,Hop on now,7.0
#makeup shorts,hashtag,youtube,2025-09-08,205,21973575,"{'gen_z': np.float64(0.51), 'millennials': np.float64(0.49)}","['lifestyle', 'general']","['en', 'en-GB', 'en-IN', 'hi', 'zxx', 'en-US', 'ta', 'te', 'kn']",#makeup shorts,0.5,0.0,peak,Maintain visibility,0.0
##trend,hashtag,youtube,2025-09-08,205,4389064,"{'gen_z': np.float64(0.71), 'millennials': np.float64(0.29)}","['lifestyle', 'general']","['en', 'hi', 'en-GB', 'en-US', 'ur', 'ta', 'en-IN']",##trend,0.5,0.667,emerging,Hop on now,7.0
##makeuplover,hashtag,youtube,2025-09-08,203,133955,"{'gen_z': np.float64(0.43), 'millennials': np.float64(0.57)}",['lifestyle'],"['ur', 'zxx']",##makeuplover,1.0,0.333,emerging,Hop on now,7.0
##naturalhair,hashtag,youtube,2025-09-08,203,10324,"{'gen_z': np.float64(0.49), 'millennials': np.float64(0.51)}","['lifestyle', 'health']",['en'],##naturalhair,1.0,0.333,emerging,Hop on now,7.0
##eyemakeup,hashtag,youtube,2025-09-08,201,1229973,"{'gen_z': np.float64(0.57), 'millennials': np.float64(0.43)}",['lifestyle'],"['en-US', 'ur', 'en', 'en-GB', 'hi']",##eyemakeup,1.0,0.333,emerging,Hop on now,7.0
##eyeshadow,hashtag,youtube,2025-09-08,198,18019208,"{'gen_z': np.float64(0.59), 'millennials': np.float64(0.41)}",['lifestyle'],"['en-GB', 'en', 'hi', 'en-US', 'ur']",##eyeshadow,0.333,0.0,peak,Maintain visibility,0.0
##beautyproducts,hashtag,youtube,2025-09-08,197,159,"{'gen_z': np.float64(0.73), 'millennials': np.float64(0.27)}",['lifestyle'],['en-US'],##beautyproducts,1.0,0.333,emerging,Hop on now,7.0
##outfit,hashtag,youtube,2025-09-08,197,644671,"{'gen_z': np.float64(0.75), 'millennials': np.float64(0.25)}",['lifestyle'],"['hi', 'en', 'en-US', 'en-IN', 'pl', 'ar']",##outfit,1.0,0.0,peak,Maintain visibility,0.0
