trend_id,token_type,platform,date,volume,engagement,unique_creators,audience_signals,category,geo
#IdolFactoryRespectFB,hashtag,x,8/5/2025,33000,908,"['JulsFernanda', 'PSac_FreenBecky', 'whatifering', 'Mariam61804259', 'Vayo_Bleu0805', 'BelovedxFB', 'FernandaSocola', 'sky_n_freen', 'PhuongThao1217', 'FB_enthusiast', 'LauraD4vil4', 'thisisdobleu', 'miduR_', 'prado_nilda', 'pattyta503_']","{'gen_z': 0.85, 'millennials': 0.15}",,Mexico
MEMOIR LAST CHAPTER,keyword,x,8/5/2025,188000,8,"['arisara2927', 'warizzton', 'jellyuwuw', 'cherrymoonlo', 'hosperth', 'angle_meoww', 'LostMok', 'ConnieHepo', 'PeachieRuby_', 'nobody6know', 'zzemnho', 'iTomlinsonJonas', 'Haru_BLove', 'alfonsopv0', 'May14029112', 'adriely_fretes', 'NomNomHanger']","{'gen_z': 0.54, 'millennials': 0.46}",,Malaysia
Tchouameni,keyword,x,8/5/2025,13000,507,"['jeen_yuhsssss', 'pelonpuskk', 'piobren0', 'muchsaucejaymiu', 'S2ASTAM', 'RealMadridTBest', 'LwazmeroDlams', 'kiko8898', 'pmadridistabd', 'karimalex_', 'Wick9422', 'saysyl_sangwa', 'raph59block', 'JabberCR', 'BeckhamLindo', 'mukhtar_gubio', 'FGuilhermeM', 'thandokuhlehm', 'thewhi8s', 'gbtipsterbr']","{'gen_z': 0.5, 'millennials': 0.5}",,Paris
Deputy PM,keyword,x,8/6/2025,34000,416,"['Parijat_Karan', 'CF680E1A4', 'hoare_', 'Adam00872774', '3agleQ', 'Derbyshire78850', 'johnredwood', 'streets', 'JamesRoberts330', 'grok', 'greeneconomyact', 'Whatspctoday', 'Gumbrell01', 'RaviShank06', 'aishamusic', 'viewfromnz', 'Wright4037', 'PGSW14', 'DianaMincher', 'grahampointer72']","{'gen_z': 0.21, 'millennials': 0.79}",,United Kingdom
Collingwood,keyword,x,8/6/2025,,184466,"['AusFrAnNoZ', 'dl_ferrar0', 'robert75096586', 'EZprofitsAI', 'verynormalman', 'CollingwoodcpcC', 'AmericaInvests', 'BillRossiter1', 'steedencentral', 'CortinoVictor', 'PaulCar05391684', 'DickBranson', 'e_squirrelson', 'michele71438447', 'grok', 'Liam2799', 'TrentBrace', 'big_gus13', 'corkers898']","{'gen_z': 0.14, 'millennials': 0.86}",,Australia
Guthrie,keyword,x,8/6/2025,,1657,"['guthrie_cd', 'MG_Farma', 'LongMacVampyr', 'MathewBowden', 'JExodus21', 'RJB242', 'luckyredtoo', 'ixnaqisah1', 'dipre_frank', 'leeroyzzzz', 'pjohnson_sports', 'viaconcommand', 'kjh1138', 'ForrestsMind', 'FarukalSaymaok', 'hutcho66', 'JChiz721', '1312since1997', 'denjhshelmetta']","{'gen_z': 0.46, 'millennials': 0.54}",,Australia
Cam Newton,keyword,x,8/6/2025,,686,"['FreeWillie21', 'MasonMammoth', 'GilmourTim', 'showdedoop', 'Nameiseric71294', '1tonyg', 'Mamadean163', 'KeglovicLe83808', 'ksitomer3', 'AshleyTXBurner', 'CaiuaNasc', 'dirtybagpipes', 'monforda1', 'dirtydansutter', 'bodizz104', 'jordanlittel', 'Drew_This14', 'chsm25866965', 'ScAr801', 'MdToufik380006']","{'gen_z': 0.74, 'millennials': 0.26}",,United States
queendom the series ep5,keyword,x,8/6/2025,,47165,"['LucyLeigut', 'GiniiG', 'j7heii', 'patheinfatuati', 'storebetweenus', 'canzhiting0815', 'AkoMontoo', 'wiljustbwl', 'WeTVThailand', 'riminus27', 'AG0R_mx', 'darlentinaur']","{'gen_z': 0.2, 'millennials': 0.8}",,Malaysia
From CNBLUE UN Support,keyword,x,8/7/2025,,10265,"['wnyeffects', 'JYHBestRockStar', 'lovely_eyla', 'w_anggra', 'lizhimin778863', 'CNBLUE_UN_Spt', 'sg_shirleyc', 'dinimollababy', 'AmkaLurun', 'Ainnahah']","{'gen_z': 0.27, 'millennials': 0.73}",,Malaysia
Prophet Muhammad,keyword,x,8/7/2025,38000,578,"['GTVNewsPk', 'IbaLawalHO', 'experzvibes', 'NPFPak', 'TheNationNews', 'tahirmbs', 'Efkar_1', 'AnatomyOfSufism', 'Rosesharmaharsh', 'grok', 'Boundary22', 'xc_nigeria', 'NewsNowJK', 'muslim_1065', 'jabir298', 'SHABNUM26', 'AMCOSKILLBD', '__Aisha_q56', 'Nasir1015']","{'gen_z': 0.97, 'millennials': 0.03}",,Malaysia
Department of War,keyword,x,8/7/2025,102000,63,"['MaxxWinter', 'ectanker', '_sab_shubh_ho_', 'AboundingMyths', 'laughing747', 'sarahyokokawa', 'CrescentFeed', 'AzorInfo', 'rk_suganthan', 'freethought2023', '12OnYourSide', 'Kwame19888891', 'dawnu56', 'SeaLion_799', 'TheSecretPony', 'Warrior6677799', 'KCRG', 'KarylTheCat', 'VKMYR', 'WillUK1776']","{'gen_z': 0.98, 'millennials': 0.02}",,Australia
John Cena,keyword,x,8/7/2025,42000,414,"['PepeMC26', 'SOFIRESAPPHIRE', 'TheeSaltine', 'ChadBec82312937', 'KokoKareem_', 'ThomasWrrld', 'Ryan_Griffith21', 'countchrisHBZ', 'wtflmaoooooi', 'GregHatlen', 'Verbalycal', 'iitsTemper', 'WS_WolfStar', 'ChristFaithNow', 'g7s19p16', 'HakaiShins12', 'DontBAMark', 'MarsJones277', 'VARcelona2don', 'Nephzee_King']","{'gen_z': 0.62, 'millennials': 0.38}",,Mexico
Chris Jones,keyword,x,8/7/2025,,38861,"['BarrWilf', 'FloydcheckHook', 'doubtfireissexy', 'maleek223', 'ThisMyMoniker', 'JohnBorchert24', 'PresidentXavi', 'TheMeatDragon', 'luckyse7ens1', 'WavyKahlil', 'pgsween', 'SoFi', 'MillsonLar24639', 'alltoocharles', 'newyorkgiantman', 'ryguy829', 'kyoumacapital', 'ArrowheadPride', 'KCAvsFan9']","{'gen_z': 0.16, 'millennials': 0.84}",,United States
Douglas Alexander,keyword,x,8/7/2025,,590,"['Shetlander1978', 't20696678', 'KAlmsivi', 'Doogsta', 'NConway2', 'GASPurves', 'pmci1978', 'Alexand60844330', 'JoshuaMWilkes', 'MarkCairns67', '2351onthelist', 'alexandermckay2', 'RickyCa69392149', 'photoclassic', 'Camz99', 'MoFloMoJo']","{'gen_z': 0.9, 'millennials': 0.1}",,United Kingdom
Ed Sheeran,keyword,x,8/8/2025,,1554,"['colette0529', 'lukavideos31', 'khaleejtimes', 'Chan68696869', 'channelrradio', 'maryam_fcb', 'cclolita22', 'AiraShinonome', 'BrowningHat', 'lbero_game', 'Hitchcocksbaby', 'TrumplicanWINN', 'Saffron_Sniper1', 'marinangrrr', 'quiksilver4238', 'MrKerberos62', 'YourEyesOn1009', 'MetaverseGamer1', 'meloperfect_']","{'gen_z': 0.02, 'millennials': 0.98}",,Paris
Collingwood,keyword,x,8/8/2025,,2849586,"['DAmericasFuture', 'EZprofitsAI', 'grok', 'DickBranson', 'CollingwoodcpcC', 'e_squirrelson', 'TrentBrace', 'big_gus13', 'AmericaInvests', 'michele71438447', 'AusFrAnNoZ', 'robert75096586', 'BillRossiter1', 'CortinoVictor', 'Liam2799', 'steedencentral', 'PaulCar05391684', 'LASIKdotcom', 'corkers898']","{'gen_z': 0.67, 'millennials': 0.33}",,Australia
#idolFactoryTH,hashtag,x,8/8/2025,66000,1089,"['BrosZa88', 'PSac_FreenBecky', 'IDF_Latino', 'iribe00', 'ParulNi84747170', 'AlFB_LOVE', 'BABE_OFC', 'FB_enthusiast', 'CUABU_FB', 'sal_freenbeck', 'R_ImUrS', 'FreenBeckyITA', 'yyds_fbswift', 'irazema_ma', 'Leccis2', '3579Lupita']","{'gen_z': 0.69, 'millennials': 0.31}",,Thailand
Hollow Knight,keyword,x,8/9/2025,90000,228,"['701delta', 'youve_got', 'sunnyman601', 'Bergino_Lviv', 'RaccoonDuD', 'GreenGuyAnjo', 'ImNotThisP3rson', 'Elricdecom', 'PshyCover', 'EdgarEC_', 'o0mrm0o', 'giovannirdamico', 'TheRealDanberhe', 'vvolfer_x', 'uwutow', 'game_tvstation', '58nekonoken', 'DarthMicroT', '1CrazyFoxx1', 'random_fedora']","{'gen_z': 0.69, 'millennials': 0.31}",,Malaysia
MEMOIR LAST CHAPTER,keyword,x,8/10/2025,192000,9,"['_dalbitkkot', 'WenWenIsMe', 'aoulways', 'Tam_2505', 'ConnieHepo', 'Soloxte658807', 'forrrRfarrr', 'thtil', 'NomNomHanger', 'j2besno', 'Hope_nnt', 'ppprunprinzz', 'skylinekordai', 'imnnin_ox', 'nuyenthusiast', 'uuumch_', 'iimcream5']","{'gen_z': 0.56, 'millennials': 0.44}",,Malaysia
Duchess of Kent,keyword,x,8/10/2025,18000,404,"['kamjoe3', 'MeganHa40250780', 'omega_paladin', 'brozovicbasic', 'utahagen', 'JohnMcK42214', 'pluckiepluck', 'geraldi79421313', 'brndwashington', 'MrsFHarbottle', 'troyrecord', 'Geraldi67883608', 'paulnickersonuk', 'truckindiesel', 'KRMGtulsa', 'day156324', 'Anthea143289202', '9aCedarCourt']","{'gen_z': 0.77, 'millennials': 0.23}",,Australia
#DICE_THEFIRSTCONCERT,hashtag,x,8/10/2025,,4793,"['thisheartformk', 'krpkcncn', 'DICE_SONRAY', 'lixy_tttt', 'stmygfxo', 'miinnmin_z', '4everkurabloom', 'marshmallowithy', 'Krub_she', 'farhaurie', 'DDDrreeaamm', 'woowdres', 'pppgreenppp', 'lovumydream', 'cherishjapo', 'Anna07016', 'pihtman20x3']","{'gen_z': 0.56, 'millennials': 0.44}",,Thailand
#YourSkyFanmeetinSeoulR1,hashtag,x,8/10/2025,,152,"['onlyauausavee', 'Korurumod1', 'ryjmhnt021321', 'AuauSaveMyatNoe', 'deerestyeol', 'RMjudjid', 'maysaamira222', 'hoyslin8517', 'jirokaju', 'jibjeab', 'kongjirokjr', 'phiangporpor', 'baiporteetee', 'NLlw3g7lMrrlwBr', 'maxtiwnat', 'Aeris_ZoNZoN', 'auausavekuff', 'x_oppo9126', 'SunFlower_JHw']","{'gen_z': 0.59, 'millennials': 0.41}",,Thailand
ADLK IN CHENGDU,keyword,x,8/11/2025,24000,4270,"['BrookeDavi7034', 'Angeline411427', 'min9999_r', 'Lisalisa2731997', 'AA6922423517396', 'NgamWanalee', 'aneung3127', 'RinBuy49755', 'ChampA2323', 'pjung_pookluk', 'yi_mo81996', 'suputtar0210', 'mewxpn', 'AL11_27']","{'gen_z': 0.35, 'millennials': 0.65}",,Thailand
Thomas Legrand,keyword,x,8/11/2025,,5055,"['FredericN764', 'Break08Stephane', 'ToutcramerV2', 'BenjaminBakouch', 'PoliceRealites', 'sphthomas', 'herstalle', 'KadoKero', 'F_Desouche', 'AlpesTango', 'grok', 'ONCLE_ARCHIBALD', 'Ray17La', 'JFcinetv', 'paoloarieldov', 'ACTUFSI', 'PalaczMarc', 'jerome_buisson', 'lauhadj2']","{'gen_z': 0.03, 'millennials': 0.97}",,Paris
Socceroos,keyword,x,8/12/2025,,9496,"['Socceroos', 'wswanderersfc', 'heraldsunsport', 'cmail_sport', 'AlexfromMelb', 'RocBSyd', 'jordanspurcell', 'CCMariners', 'CosmicMatt92', 'USMNTfanatics16', 'RaneroAndres', 'maimaidenden', 'SBSSportau', 'codefootballau', 'arcadia441', 'serieAchronpod', 'Adopta1Indigena', 'Footbal64150902']","{'gen_z': 0.32, 'millennials': 0.68}",,Australia
Guthrie,keyword,x,8/12/2025,,1653,"['RJB242', 'kjh1138', 'hutcho66', 'MG_Farma', '1312since1997', 'guthrie_cd', 'luckyredtoo', 'viaconcommand', 'pjohnson_sports', 'MathewBowden', 'ixnaqisah1', 'dipre_frank', 'leeroyzzzz', 'LongMacVampyr', 'FarukalSaymaok', 'JChiz721', 'ForrestsMind', 'denjhshelmetta', 'JExodus21']","{'gen_z': 0.31, 'millennials': 0.69}",,Australia
#The_DECADE_of_DAY6,hashtag,x,8/12/2025,,32719,"['lunaweb3_', 'maumfd6', 'Nadycasylva', '_deoksu6', 'from_ddungdin', 'Soso__3244', 'floresslovely', 'MindZeaBetter', 'from_haei', 'KITTY_1010_CAT', 'yourbuddyOT6', 'MonstaJooMin', 'ZeeBrym53411', 'Guun_bam_', 'teachdresscode', 'myday0826', 'dowoongdowoong', 'iamaneugeu', 'PortalDAY6BR']","{'gen_z': 0.67, 'millennials': 0.33}",,China
E-ID,keyword,x,8/12/2025,,461,"['acama_girl', 'matthiasebneter', 'SuisseFederee', 'USchuepbach', 'UeliDer', 'Asinokoat', 'KuedeHuber', 'ChilchbergerBL', 'RudolfSchenker3', 'RenateGautschy', 'Cooky4422548977', 'daniel_gugger', 'Pirouette15']","{'gen_z': 0.66, 'millennials': 0.34}",,Switzerland
Michael Cole,keyword,x,8/13/2025,,614,"['_StrongestHanma', 'LivDomRox', 'Salem3Janet', 'NoahTheBlessed1', 'solrocknroll', 'rendale', 'TLH_Updates', 'factsmanhimself', 'wrestlingn_', 'RaptorFGC', 'BrownNeo__', '411wrestling', 'AhmadMuhammad97', 'JtGWrites', 'HarleyQ2You', 'TFann24', 'SalemAlharbii98', 'ItsMiguelNava24']","{'gen_z': 0.48, 'millennials': 0.52}",,United Kingdom
#WishJimmyAllWell2025,hashtag,x,8/13/2025,,4918,"['nmlanpp', 'jimsealuvr', 'SworldP', 'Macchiato311', 'pabexw0', 'inlovemesomuch', 'meiy__k2', 'Maprang307', 'Twinwow_', 'mlltpttnms', '_Molony_', 'jaysaderd', 'janthamanee76', 'qwemildss', 'avosya_', 'evelyn48__', 'FNfirst2', 'notmybbn', 'cbwrp_']","{'gen_z': 0.29, 'millennials': 0.71}",,Thailand
Prophet Muhammad,keyword,x,8/13/2025,37000,543,"['__Aisha_q56', 'experzvibes', 'xc_nigeria', 'ASIFAFG04166411', 'muslim_1065', 'TheNationNews', 'GTVNewsPk', 'NewsNowJK', 'TheKashmiriyat', 'Rosesharmaharsh', 'Nasir1015', 'AnatomyOfSufism', 'jabir298', 'tahirmbs', 'Efkar_1', 'AMCOSKILLBD', 'SHABNUM26', 'IbaLawalHO']","{'gen_z': 0.36, 'millennials': 0.64}",,Malaysia
Collins,keyword,x,8/13/2025,12000,210,"['AndreCFC1092', 'JaghoIvan', 'Promisetheguy', 'streetupdate24_', 'EdnaKB2', 'EZE970', 'David2398292847', 'StefanH38016719', 'spn1473315', 'PelumiAbiola7', 'iamAsurveyor', 'Living3Dream', 'HUSHUBBY', 'Shelli1961', 'JayOfTheDeadMF', 'NguyetDiem17065']","{'gen_z': 0.44, 'millennials': 0.56}",,Munich
IdolFactory Treat FB Better,keyword,x,8/13/2025,30000,1370,"['jongdalsaelee', 'FB_enthusiast', 'KPottzo', 'prado_nilda', 'freenkybymamits', 'Fb4ever123894', 'seleneleeee', 'Cassie_sone', 'VoHan2273', 'S_F_T_J', 'PSac_FreenBecky', 'pausiniannerys', 'JK1627LiNi', 'Aredek66', 'BrendaAlvi', 'KakarayanX']","{'gen_z': 0.99, 'millennials': 0.01}",,Malaysia
Middle East,keyword,x,8/14/2025,32000,101,"['DrAshishMahobi1', 'engin_gurp', 'IndiasWorld_mag', 'shamsilawal446', 'byzantinetx', 'grok', 'CalMan007', 'Yoginprakash1', 'UncleBuckbroken', 'veeryodha923942', 'AkKr38159858', 'mostafaalnjjar', 'transilienceai', 'UntergangGang', 'samdarrko', 'JokerSF77', 'aniol', 'racistmcneilly', 'PoliUnLimited']","{'gen_z': 0.72, 'millennials': 0.28}",,Malaysia
Hollow Knight,keyword,x,8/14/2025,89000,143,"['o0mrm0o', 'Clownthesociety', 'EdgarEC_', '1CrazyFoxx1', 'KoutaPhantom', 'random_fedora', 'giovannirdamico', 'josh_co225', 'game_tvstation', 'RaccoonDuD', 'GreenGuyAnjo', 'sunnyman601', 'Bergino_Lviv', 'ImNotThisP3rson', 'vvolfer_x', 'youve_got', '701delta', 'TheRealDanberhe', 'PshyCover', 'DarthMicroT']","{'gen_z': 0.25, 'millennials': 0.75}",,Malaysia
MEMOIR LAST CHAPTER,keyword,x,8/14/2025,193000,7,"['aoulways', 'sn013048', 'Msuttarot', '_dalbitkkot', 'FoxyJulie666', 'iimcream5', 'nobody6know', 'LilyHung821', 'xysweet2', 'teerakjaaa21', 'wdystaydream', 'tikktk1a', 'suttiluck02', 'ppprunprinzz', 'cherrymoonlo', 'ConnieHepo', 'Dani_5902', 'Verup6', 'jellyn0oom']","{'gen_z': 0.18, 'millennials': 0.82}",,Milan
Perth,keyword,x,8/15/2025,18000,379,"['pperthsantaaa', 'perthcy1129', '2017Ferret', 'elenastin', 'gemiyakiivers', 'Chester2019x', 'megasoundz1', 'clayses', 'BraunmanCoolguy', 'santav', 'BrisbaneWe21723', 'Werribee420melb', 'Perthtanaponbr_', 'SparkleSass555', 'BenDownPhilmac', 'saudinperth', 'YunD94974', 'PerthTrang68842']","{'gen_z': 0.06, 'millennials': 0.94}",,Malaysia
Junmyeon,keyword,x,8/15/2025,,1880,"['chanyeolliee02', 'lovexo_9', 'chan__yori', 'SeKaiPouts', 'imarriednanami', 'ctrlcentered', 'jhyunflwr', 'cherrymyeoni', 'HANNAHYUN98', '789Sahiba', 'phanci_png', 'elr7s', 'yanandyeol', 'noonananashop', 'iivvgoswimming', 'Noma_exol', 'g_luvs_exoahof', 'nhihao_', 'onddubu']","{'gen_z': 0.68, 'millennials': 0.32}",,Malaysia
BLONDE JIMIN,keyword,x,8/16/2025,68000,607,"['CloudLilac1', 'jmnbestiee', 'jeonpar46401335', 'pookiejiminnn', 'vmibear', 'pjmchaos_', 'Ldiyaa_', 'oh_itsdidi', 'escapismjjk', 'Preciousjiminy', 'moonstruckenha', 'namuskitchen_11', 'jiminievol', 'jjyamanikkyu', 'nstyjjj', 'pjmsmono', 'angelstar1632', 'nugajeon', 'Annette63376048']","{'gen_z': 0.43, 'millennials': 0.57}",,Malaysia
Chargers,keyword,x,8/16/2025,97000,184033,"['AmericaInvests', 'TheFindalorian', 'LasVUnderground', 'Mason77514013', 'nflpress_digest', 'TKMGMT04', 'y0rdan__', 'djdj0810', 'ChiefsOutWest', 'SanDiegoPete73', 'LASlayer13', 'kingmarrun276', 'EternalMis42758', 'ArrowheadPride', 'cobycobycoby98', 'AzspNews', 'yankeealvaro', 'CorbinLeMaster']","{'gen_z': 0.3, 'millennials': 0.7}",,Australia
Hampton,keyword,x,8/17/2025,11000,185018,"['SoIomonHill', 'jsbtarheel95', 'RichSharp95', 'AmericaInvests', 'TheFFHustle', 'grok', 'PDBetss', 'internet_james_', 'ozk4rh', 'JBforThr33', 'CantStopMilroe', 'SprayberryJay', '13BrianSmith', 'cjwynes', 'Bakxr', 'Shuggshot', 'burdknowsball', 'bigwiggles1', 'bankrollaction', 'xSPANNx']","{'gen_z': 0.3, 'millennials': 0.7}",,United States
Perth,keyword,x,8/17/2025,18000,419,"['2017Ferret', 'BraunmanCoolguy', 'dumpnyamine', 'BenDownPhilmac', 'YunD94974', 'santav', 'PerthTrang68842', 'perthcy1129', 'Perthtanaponbr_', 'elenastin', 'gemiyakiivers', 'megasoundz1', 'saudinperth', 'Werribee420melb', 'clayses', 'SparkleSass555', 'BrisbaneWe21723', 'pperthsantaaa']","{'gen_z': 0.29, 'millennials': 0.71}",,Malaysia
John Cena,keyword,x,8/17/2025,43000,583,"['g7s19p16', 'ChristFaithNow', 'MarsJones277', 'countchrisHBZ', 'ChadBec82312937', 'ThomasWrrld', 'PepeMC26', 'KokoKareem_', 'TheeSaltine', 'pwtorchvip', 'GregHatlen', 'iitsTemper', 'Verbalycal', 'SOFIRESAPPHIRE', 'Nephzee_King', 'DontBAMark', 'VARcelona2don', '7amadabsi', 'wtflmaoooooi', 'WS_WolfStar']","{'gen_z': 0.36, 'millennials': 0.64}",,United Kingdom
IdolFactory Treat FB Better,keyword,x,8/18/2025,29000,1422,"['Aredek66', 'PSac_FreenBecky', 'whatifering', 'Mariam61804259', 'Vayo_Bleu0805', 'BelovedxFB', 'S_F_T_J', 'freenkybymamits', 'sky_n_freen', 'FB_enthusiast', 'PhuongThao1217', 'Fb4ever123894', 'miduR_', 'prado_nilda', 'pausiniannerys', 'VoHan2273']","{'gen_z': 0.53, 'millennials': 0.47}",,Mexico
Department of War,keyword,x,8/18/2025,101000,137,"['AskPerplexity', 'rosesnvines', 'CryptoMemeRaj', 'grok', 'TheDailyBreadUS', 'OrangeCryptoTec', 'AleksanderVolga', 'Bx75000841', 'WooshForLife', 'RUSSELLCOBURN10', 'thesarahsicard', 'MikeTroy81', 'Lars9596', 'asgoodasmachine', 'thee8252', 'Helix_W', 'njoroge86', 'JohnDoe73119552', 'omar6t9']","{'gen_z': 0.5, 'millennials': 0.5}",,Totonto
#BamBam_Concert_HOMETOWN,hashtag,x,8/18/2025,239000,135,"['Pimpai242', 'Luck_BB1a', 'Jomkuanchanok', 'mazu4377', 'Au40236042', 'Suni50211277S', 'JadeEmeral75443', 'NPanpiriya', 'SuwasiriT33551', 'Zulizz_B1', 'tuna09toto', 'As_nida9497', 'ThisisChollyBB', 'BBammie52', '1a_lili0302']","{'gen_z': 0.62, 'millennials': 0.38}",,Thailand
queendom the series ep5,keyword,x,8/18/2025,,47617,"['darlentinaur', 'canzhiting0815', 'j7heii', 'patheinfatuati', 'WeTVThailand', 'AG0R_mx', 'storebetweenus', 'AkoMontoo', 'GiniiG', 'LucyLeigut', 'wiljustbwl', 'riminus27']","{'gen_z': 0.44, 'millennials': 0.56}",,Malaysia
Perth,keyword,x,8/18/2025,18000,454,"['Perth_Traffic', 'guin261', 'hosperth', 'WITCHGRINDER', 'annapham112017', 'adelaideweeddd', 'judges119', 'MakeMacan', 'MrTbloke', 'Golden7PP', 'ianScot22628261', 'GoldCoastSUNS', 'emptycab', 'DaveDantu11', 'hypotenucse', 'rweckert']","{'gen_z': 0.72, 'millennials': 0.28}",,Malaysia
